"Gene","Coefficient"
"ILMN_2411236",-0.917906962309839
"ILMN_1882485",-0.875794963757389
"ILMN_2235137",0.736319689918862
"ILMN_1691444",0.734651314187645
"ILMN_1692731",0.716744693786918
"ILMN_1697460",-0.643119333029496
"ILMN_1776879",-0.497750088561775
"ILMN_1774733",0.366303936174209
"ILMN_1768551",0.342396377369687
"ILMN_1667444",-0.308643306908569
"ILMN_1808238",-0.294241233130249
"ILMN_1705403",-0.168144928833496
"ILMN_1774948",-0.159480014007864
"ILMN_1710962",-0.150864442353343
"ILMN_1762888",0.142207247480402
"ILMN_1805737",0.138339147275393
"ILMN_2226343",-0.129581617756516
"ILMN_1713918",-0.11546855115955
"ILMN_1709287",-0.110275072631164
"ILMN_1789103",-0.102940810134046
"ILMN_1807379",0.0997706457080305
"ILMN_1754865",-0.0921655515901734
"ILMN_1813430",0.087863213426283
"ILMN_2203768",-0.0833958141415886
"ILMN_1758778",0.0797603944508716
"ILMN_1780444",-0.0699402016168859
"ILMN_2386982",-0.0638816409060739
"ILMN_1701114",0.0598042369667929
"ILMN_2338038",0.0593554098078667
"ILMN_2393693",0.0592473137663915
"ILMN_2413650",0.0555581757602203
"ILMN_1878885",-0.0504975825813898
"ILMN_1775962",0.0504045020827286
"ILMN_1698334",-0.0182355003499771
"ILMN_2249018",-0.0137235551185204
"ILMN_2066060",0.0106981318253055
"ILMN_1682957",-0.00537944164255719
"ILMN_1731224",0.000658399360086484
