"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","9/18","266/11287",0.0338345864661654,21.2161654135338,13.3349897321571,7.91704777951789e-11,1.36489903718888e-07,1.36489903718888e-07,"10964/11274/10561/163351/2633/4938/8638/9636/4939",9
"R-HSA-909733","Interferon alpha/beta signaling","5/18","57/11287",0.087719298245614,55.004873294347,16.3359384060304,2.23740406993054e-08,1.92864230828012e-05,1.92864230828012e-05,"11274/4938/8638/9636/4939",5
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","6/18","159/11287",0.0377358490566038,23.6624737945493,11.5016700468389,1.14769424593084e-07,6.59541626661587e-05,6.59541626661588e-05,"11274/2633/4938/8638/9636/4939",6
"R-HSA-877300","Interferon gamma signaling","5/18","96/11287",0.0520833333333333,32.6591435185185,12.4498441924457,3.14568400769833e-07,0.000135578980731798,0.000135578980731798,"163351/2633/4938/8638/4939",5
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","3/18","17/11287",0.176470588235294,110.656862745098,18.0826428820839,2.28383747003374e-06,0.000787467159667635,0.000787467159667635,"10964/10561/9636",3
